date,month,daylight_count,clear_sky_index_mean,dominant_regime,baseline_pred_mae,attention_pred_mae,hybrid_pred_mae
2021-07-18,7,15,62.19126343803024,cloudy,36.29972457885742,42.06257247924805,3.100110959392369
2021-07-19,7,14,0.6208202686902068,cloudy,15.522750854492188,20.143239974975586,0.7119104310691906
2021-07-20,7,14,0.6475104878787936,cloudy,16.537044525146484,49.631534576416016,0.7597050900312216
2021-07-21,7,13,0.6742729925868313,cloudy,15.824248313903809,15.207183837890625,1.6600410204648823
2021-07-22,7,13,0.6647381840056661,cloudy,17.007160186767578,12.817340850830078,1.036712396266187
2021-07-23,7,13,0.6744634417910066,cloudy,15.121061325073242,13.987903594970703,1.4505252550153522
2021-07-24,7,13,0.6562851395595146,cloudy,17.171049118041992,14.389225959777832,0.9761356006065538
2021-07-25,7,13,0.6730794766295171,cloudy,16.162206649780273,13.28570556640625,2.9526070822408093
2021-07-26,7,13,0.3185142618615204,cloudy,59.583030700683594,86.38050079345703,4.094485351617195
2021-07-27,7,13,0.7114044938224354,cloudy,24.503746032714844,33.38716125488281,1.9302773915914921
2021-07-28,7,13,0.7147188301174362,cloudy,14.031773567199707,32.75126647949219,1.4885329141253867
2021-07-29,7,13,0.7243645515327649,cloudy,16.440387725830078,7.204554557800293,0.7143357036815515
2021-07-30,7,13,0.7272822302167247,cloudy,13.421802520751953,13.196264266967773,2.01444699639346
2021-07-31,7,13,0.7676298416138643,cloudy,17.392749786376953,22.600332260131836,1.6101632292091064
2021-08-01,8,13,0.7765646675878753,cloudy,15.75118637084961,18.621747970581055,1.1050440751963044
2021-08-02,8,13,0.8022019172922895,cloudy,20.52527618408203,18.34447479248047,1.1902631690054055
2021-08-03,8,13,0.8001896240589801,cloudy,19.826316833496094,15.123180389404297,1.1303603469831278
2021-08-04,8,13,0.795739427355026,cloudy,18.890356063842773,16.445615768432617,0.4389160156149031
2021-08-05,8,13,0.8174493171867669,cloudy,19.077138900756836,24.480499267578125,1.1355329617688596
2021-08-06,8,13,0.8535514115474052,cloudy,21.419361114501953,29.838712692260742,1.300289518021462
2021-08-07,8,13,0.8355731169293835,cloudy,15.298151016235352,16.167234420776367,1.8902308367624878
2021-08-08,8,13,0.8515563096205357,cloudy,16.74390983581543,17.938426971435547,0.6932534111278849
2021-08-09,8,13,0.8686749691662397,cloudy,14.186285972595215,16.519418716430664,1.530886910359855
2021-08-10,8,13,0.8626696190387055,cloudy,15.42301082611084,10.756307601928711,0.6274881512060968
2021-08-11,8,13,0.6579717682580669,cloudy,38.125816345214844,45.033363342285156,4.245791305529121
2021-08-12,8,13,0.8779091990691822,cloudy,12.590950965881348,16.03861427307129,2.8085865915379853
2021-08-13,8,13,0.9053696386250694,cloudy,13.117666244506836,24.947315216064453,1.5021725319126231
2021-08-14,8,13,0.9021622372008825,cloudy,8.732488632202148,8.177031517028809,1.900888717677418
2021-08-15,8,13,0.9034661820359047,cloudy,8.532686233520508,13.026361465454102,1.4328416256495617
2021-08-16,8,13,0.9236916541297229,cloudy,14.70562744140625,12.223756790161133,0.8063421101531971
2021-08-17,8,13,0.9393712296066076,cloudy,18.051189422607422,8.132719993591309,2.2759836289593873
2021-08-18,8,13,0.23449935514891662,cloudy,77.44314575195312,86.63038635253906,8.559995312416898
2021-08-19,8,13,1.064421283573925,cloudy,37.182350158691406,16.678089141845703,4.153721781864558
2021-08-20,8,13,0.5041284779571268,cloudy,56.417354583740234,78.42185974121094,4.392209244427321
2021-08-21,8,13,1.1778122659245984,cloudy,34.90597915649414,29.565166473388672,3.716594508620879
2021-08-22,8,13,0.3619982091916721,cloudy,66.08033752441406,47.07876968383789,5.109284880962065
2021-08-23,8,13,0.9065687887489009,cloudy,67.50647735595703,42.32881164550781,5.069155302472078
2021-08-24,8,13,1.4109486245087552,cloudy,20.705167770385742,24.02532196044922,4.242448104254523
2021-08-25,8,13,1.4695193064700947,cloudy,11.727700233459473,7.275179386138916,1.6520414569846464
2021-08-26,8,13,1.6266000261114575,cloudy,19.182207107543945,13.916789054870605,0.43017904891146913
2021-08-27,8,13,1.7783454696424807,cloudy,19.30921745300293,24.79934310913086,1.737332777352486
2021-08-28,8,13,1.8838687013571471,cloudy,15.642513275146484,26.343544006347656,2.0755140100142726
2021-08-29,8,13,2.0147533566579474,cloudy,17.788026809692383,22.534944534301758,1.1013079859610442
2021-08-30,8,13,2.0887154281535145,cloudy,14.832012176513672,13.409320831298828,1.8978135073829796
2021-08-31,8,13,1.9512827908185797,cloudy,42.17223358154297,55.542964935302734,4.4966749627749145
2021-09-01,9,13,0.8554232193781258,cloudy,78.02922821044922,65.34327697753906,5.293623304600053
2021-09-02,9,13,1.1559428885126906,cloudy,37.674434661865234,83.98314666748047,4.295854991085627
2021-09-03,9,13,3.992619060298035,cloudy,17.663936614990234,17.495540618896484,0.8323136968242503
2021-09-04,9,13,4.571799447153044,cloudy,20.587434768676758,34.33100891113281,0.6700658106971275
2021-09-05,9,13,4.81181441554324,cloudy,16.346439361572266,11.033950805664062,2.1796628467941312
2021-09-06,9,13,5.25153545915528,cloudy,10.874032974243164,12.62636661529541,1.1417659319848614
2021-09-07,9,13,5.900521253093876,cloudy,13.408916473388672,18.552427291870117,2.2663311213315023
2021-09-08,9,13,6.825128220759685,cloudy,12.443354606628418,15.90655517578125,1.2051188924033358
2021-09-09,9,13,8.474714970898528,cloudy,15.974395751953125,12.218027114868164,1.6940189376236532
2021-09-10,9,13,10.921987070301874,cloudy,17.66356086730957,18.413631439208984,0.8161045780560146
2021-09-11,9,13,15.669783363429106,cloudy,15.968053817749023,18.907331466674805,1.0946793605973086
2021-09-12,9,13,28.114920256009988,cloudy,21.215084075927734,24.471965789794922,1.3404164450905929
2021-09-13,9,13,63.80271224357905,cloudy,17.80339241027832,24.572885513305664,1.0062094549313327
2021-09-14,9,12,0.45936087685521027,cloudy,13.31959056854248,20.48921012878418,1.3537130854036274
2021-09-15,9,12,0.4521278130906449,cloudy,11.658251762390137,16.998098373413086,1.5452762196883
2021-09-16,9,12,0.463125550696365,cloudy,15.686808586120605,9.224770545959473,3.18378915882284
2021-09-17,9,12,0.21191375343888944,cloudy,41.5785026550293,54.756134033203125,2.361994764705488
2021-09-18,9,12,0.4809949715461923,cloudy,13.804362297058105,5.55328893661499,1.7957174445058284
2021-09-19,9,12,0.4899745713269373,cloudy,12.461993217468262,15.188176155090332,2.1317303491716295
2021-09-20,9,12,0.47483981397774594,cloudy,10.555233001708984,8.33414363861084,2.9446003631758924
2021-09-21,9,12,0.5181067118208983,cloudy,9.417997360229492,8.58435344696045,1.1480885609816385
2021-09-22,9,12,0.5261006460986457,cloudy,14.763501167297363,6.869775772094727,1.77886473446364
2021-09-23,9,12,0.5198015852012464,cloudy,15.409136772155762,9.28061294555664,1.1252233000825926
2021-09-24,9,12,0.4967188810893666,cloudy,8.20120620727539,8.335892677307129,1.7416266513542382
2021-09-25,9,12,0.5036395943566374,cloudy,9.113728523254395,5.330748081207275,1.3838280507859289
2021-09-26,9,12,0.1825254385717824,cloudy,45.534942626953125,42.03865432739258,2.5824717168016993
2021-09-27,9,12,0.19958235499869423,cloudy,47.237369537353516,41.931148529052734,1.9338213458311955
2021-09-28,9,12,0.4298158738249405,cloudy,24.448415756225586,18.3052921295166,3.2084006850012803
2021-09-29,9,12,0.6564196266039292,cloudy,15.692837715148926,5.216940879821777,1.0812856241523805
2021-09-30,9,12,0.7254997082195204,cloudy,9.833134651184082,21.780099868774414,1.0768880298590524
2021-10-01,10,12,0.7278497915963987,cloudy,11.68201732635498,9.768733024597168,0.4173405317181967
2021-10-02,10,12,0.7468121145266267,cloudy,12.946632385253906,6.544844150543213,1.061792886639622
2021-10-03,10,12,0.7834469534325613,cloudy,12.622389793395996,6.52547025680542,0.8872724372719922
2021-10-04,10,12,0.7436447262831355,cloudy,17.411170959472656,17.150297164916992,1.0361386496287623
2021-10-05,10,12,0.8099646532130892,cloudy,16.61890983581543,8.492154121398926,2.520423830659585
2021-10-06,10,12,0.4230003920134218,cloudy,24.990827560424805,32.861080169677734,1.3870637736075297
2021-10-07,10,12,0.3556233550357321,cloudy,14.18722152709961,44.9598503112793,2.321389508071322
2021-10-08,10,12,1.0256969284538155,cloudy,26.72307014465332,31.424474716186523,2.2608095199372884
2021-10-09,10,12,1.1595030906361978,cloudy,15.649466514587402,4.3213324546813965,1.5649874283326957
2021-10-10,10,12,1.25981720319958,cloudy,9.35084056854248,5.8129119873046875,2.026315569245788
2021-10-11,10,12,1.347075960880282,cloudy,20.344552993774414,6.093996524810791,1.5837128901872661
2021-10-12,10,12,1.5864793901272474,cloudy,11.61322021484375,15.409775733947754,4.936162283022182
2021-10-13,10,12,1.660180046665013,cloudy,8.33879566192627,8.382437705993652,2.0011721402910436
2021-10-14,10,11,1.9994508202858532,cloudy,10.690823554992676,7.458005905151367,0.9166276006419746
2021-10-15,10,11,2.360727395922112,cloudy,12.185629844665527,7.906277656555176,0.9328496273029081
2021-10-16,10,11,2.7729450844301393,cloudy,14.516483306884766,8.59244155883789,0.9986392329382099
2021-10-17,10,11,3.1297744427495857,cloudy,17.484210968017578,7.659548759460449,1.7739140860467366
2021-10-18,10,11,3.2391152105227863,cloudy,43.02169418334961,36.756473541259766,3.970143276264436
2021-10-19,10,11,3.71493758299338,cloudy,15.677298545837402,4.2921648025512695,1.8763313862350552
2021-10-20,10,11,4.102526756449509,cloudy,12.744243621826172,4.808244705200195,0.8418740241823433
2021-10-21,10,11,4.514130176505398,cloudy,12.414263725280762,5.530062675476074,1.7232595426757071
2021-10-22,10,11,5.175074091872586,cloudy,15.141512870788574,9.14798641204834,1.7179859976086136
2021-10-23,10,11,5.749699161241287,cloudy,26.98828125,22.522323608398438,1.3210541355372465
2021-10-24,10,11,3.1964880924181345,cloudy,19.062040328979492,31.05742073059082,1.8669921144832797
2021-10-25,10,11,0.6832577723176928,cloudy,16.7266902923584,55.45234298706055,2.247156237888741
2021-10-26,10,11,11.083848902732596,cloudy,21.584209442138672,13.277667999267578,2.823811379818031
2021-10-27,10,11,15.512812356910102,cloudy,7.176181316375732,32.002784729003906,2.5060914750877816
2021-10-28,10,11,25.90875389870514,cloudy,11.997943878173828,13.282217979431152,0.6943034867480044
2021-10-29,10,11,44.563222011059864,cloudy,13.9481782913208,6.155718803405762,0.6990362878313655
2021-10-30,10,10,0.2176210407676594,cloudy,14.812296867370605,8.325904846191406,1.1010751171287823
2021-10-31,10,10,0.06457569127515073,cloudy,22.693668365478516,21.53451919555664,1.845453150026883
2021-11-01,11,10,0.17963252712915545,cloudy,14.149934768676758,4.988725185394287,0.4329461081109784
2021-11-02,11,10,0.21544143275201608,cloudy,14.993780136108398,8.425134658813477,2.3557090130035507
2021-11-03,11,10,0.22830558103260756,cloudy,11.986897468566895,6.198319911956787,1.5719503012270721
2021-11-04,11,10,0.22686704997628254,cloudy,14.45722770690918,5.321327209472656,1.2424705653890336
2021-11-05,11,10,0.2393347569731143,cloudy,12.309835433959961,8.099433898925781,0.9219087216249757
2021-11-06,11,10,0.237426292019228,cloudy,12.818748474121094,4.521922588348389,1.3130695866218507
2021-11-07,11,10,0.23201039567627496,cloudy,12.426156997680664,4.373724937438965,0.8657898189490053
2021-11-08,11,10,0.08055363170936691,cloudy,19.446142196655273,19.53473472595215,1.1199775270647372
2021-11-09,11,10,0.2224427933702869,cloudy,12.709813117980957,5.26809024810791,1.3460000398426484
2021-11-10,11,10,0.23625029489921304,cloudy,15.269861221313477,6.323210716247559,0.41368582119650305
2021-11-11,11,10,0.2453658043632047,cloudy,10.124197006225586,4.571434020996094,1.1442257251670713
2021-11-12,11,10,0.25003972205109115,cloudy,12.968469619750977,5.416070461273193,0.6691318508504537
2021-11-13,11,10,0.24723077925257747,cloudy,12.347247123718262,5.402924537658691,1.4368919779551554
2021-11-14,11,10,0.25177823052124965,cloudy,13.173431396484375,6.200417518615723,0.7296090273542714
2021-11-15,11,10,0.2508424653984605,cloudy,15.861427307128906,6.133139610290527,2.2708506142766027
2021-11-16,11,10,0.12772707732971592,cloudy,4.894715785980225,13.704030990600586,1.0758550995410578
2021-11-17,11,10,0.24208738395021578,cloudy,12.116419792175293,6.174732685089111,1.45623638568794
2021-11-18,11,10,0.20328470181454325,cloudy,7.534997463226318,2.2560877799987793,1.6207687365105201
2021-11-19,11,10,0.13639639530086786,cloudy,4.9860029220581055,12.537903785705566,0.881182014537384
2021-11-20,11,10,0.1141759613086116,cloudy,9.34496784210205,12.57634449005127,0.3722679950483681
2021-11-21,11,10,0.26141999453264253,cloudy,9.191102981567383,12.302146911621094,1.1484928531116076
